1718	4745	93	3664	5580
1233	5684	2852	8487	6325
6977	2084	8522	5367	6268
1395	235	6612	7311	7064
4060	3571	859	4284	4501
4969	7728	4278	6574	4359
6052	2697	8000	3242	7800
4824	1909	9168	3709	3515
3400	8596	7227	3035	5188
8882	4033	7500	4539	458
4032	1797	5210	1382	1834
739	6846	6474	1621	6087
7130	4985	8130	248	2548
4725	3808	2887	3094	1034
8386	2230	2718	6969	9033
3675	8431	9563	9261	1672
2929	2936	6508	376	4218
2191	5019	3714	5421	8540
2157	4873	3735	2013	3852
2051	3868	6571	6645	8323
6459	5443	2202	8798	3101
4305	8341	3969	6949	8220
5125	1617	4361	8958	3575
2631	7926	688	6156	4172
5710	548	980	1959	2540
3799	7052	8299	4166	4890
8516	367	6577	541	7481
1941	7369	4224	6215	4039
4751	4337	1018	6301	6840
9126	2142	1230	4251	7590
5419	1055	3293	5857	5552
2195	8835	2818	2731	465
5547	3350	2272	2483	5074
2393	201	2038	5992	8994
5030	477	9299	8336	196
7273	7469	3719	1835	4222
343	733	1292	5229	4071
2154	5459	8708	9049	6448
2394	7442	9371	3874	1295
4320	5758	2443	676	1713
5146	1567	3133	6189	4424
6456	152	3875	2009	426
7720	3222	8988	4817	2493
3701	4082	5567	6828	5216
3148	2288	9209	7564	7507
299	3619	3936	4785	2684
5974	5033	3742	5660	6903
3523	3088	2413	2580	418
7825	7789	1414	3479	6937
6761	849	4656	4383	4532
7984	8518	6982	1361	7406
8635	6525	4953	6878	4742
7876	2381	6624	9308	9602
456	2815	1856	362	113
309	9516	7981	5657	8226
9119	6518	6741	1678	7701
2358	1839	7431	50	7859
198	5320	2133	5778	7237
3139	7183	1963	5956	4889
9621	699	3963	7924	528
721	5110	4489	9080	7539
38	645	2956	8409	6995
6799	6808	6713	9301	2354
6244	9268	1035	9466	2458
5982	1584	2006	7543	9045
1861	3059	8136	6469	8918
8494	7190	87	4915	8470
5824	7122	5525	4964	6316
7916	5826	8385	630	8858
7719	1772	3447	8108	8654
6815	2471	9392	1040	4182
4560	7811	3	2199	2754
3436	4492	8283	3437	3249
553	983	1072	407	8873
3610	4441	5878	4468	1208
4410	435	4201	1332	6265
5798	9260	4887	7983	1390
3725	9642	3772	1146	277
7125	5385	5570	2946	5516
98	7545	7195	4698	5910
8936	7067	9577	7452	5293
5526	3839	9464	4803	6142
1387	3499	2575	4657	5729
6412	636	1814	3353	8712
6404	3677	1612	5148	1464
319	2759	9360	9148	1548
7961	648	8398	1660	7674
8208	37	3836	8335	4703
7040	2388	2138	2577	7781
3794	8211	4184	3910	6347
2137	4573	2244	7258	987
5786	138	5360	4314	5412
4234	3530	6914	9121	4866
8477	9573	2455	1857	4360
5716	4926	1024	8984	6389
4255	6533	9263	6458	4827
6136	5605	2259	6772	7404
6276	6061	7184	9494	4721
4081	210	1523	5097	787
3229	7733	522	8978	5357
6494	8829	7588	9564	1384
1200	7358	1032	895	3390
1507	7923	9453	9383	3907
6587	8391	3381	7635	7766
1290	7724	1976	7268	8726
3000	9051	1438	6346	9488
8193	4888	5976	2287	8930
1031	4055	8525	8212	9103
8416	5015	4616	3746	1154
3867	5147	3929	134	5985
6138	4499	661	7555	3553
679	7698	2827	5141	8977
4880	1549	1012	588	2048
7908	4945	8617	6243	8242
459	8655	6953	1193	9117
813	1736	9485	9598	5563
9459	5578	3248	8215	6394
4906	8157	1256	3154	906
4606	9270	7774	4434	1843
5917	4221	8392	4978	1231
4330	1691	1352	2010	2330
2058	7091	9394	1553	7854
7852	5009	1104	5453	7947
783	9029	8421	406	9106
591	245	2905	6266	8264
1288	8968	9006	6015	4551
6848	3250	5285	2542	5613
1706	4579	6011	3361	6729
3040	2591	6342	1973	7323
7869	1911	7325	2687	2837
6349	1372	4834	9664	9091
313	8083	4444	1225	6850
4799	8456	4801	3243	3741
495	1535	8690	892	2322
8256	3141	4623	8324	5494
4797	7441	6220	8029	2866
4762	6253	6560	8741	253
5938	6742	6810	852	9032
1813	9086	3810	3692	6607
9067	222	4102	873	1016
5937	6273	5654	4814	1592
6168	3338	5444	7979	5802
6820	9406	2889	7138	2999
3851	9654	2266	7499	2598
1842	6856	7488	2317	7199
6590	6827	1087	728	3409
422	8698	3603	6075	1887
204	8092	7513	9169	3657
3991	5936	757	8864	2392
7569	5105	8651	2347	5538
2647	8670	2568	8886	5965
1367	7722	7417	7371	5212
3030	5809	5736	2766	4295
5474	5500	527	2942	5221
9429	3008	9285	4274	854
7613	878	6018	7943	3816
5190	5166	6363	9597	3723
6117	4389	1446	2383	6635
4672	4244	3617	592	9275
8412	4995	3067	5812	1502
874	5524	7594	2590	6158
7960	100	1641	1704	5191
4228	8691	1767	2211	5748
8496	5711	8964	2941	9562
2315	9192	986	2203	1522
2115	1510	7583	9391	3354
9098	6309	5530	2229	3178
2525	772	8850	7056	4699
